id,account,project_name,area,site_id,site_name,capacity
0,Altervim,TR NB Ph.4,BMA-01,NTB8674,NTB8674-ATV-NB1P4,4.36
1,Altervim,TR NB Ph.4,BMA-01,BKF8509,BKF8509-ATV-NB1P4,4.36
2,Altervim,TR NB Ph.4,BMA-01,NTB8686,NTB8686-ATV-NB1P4,4.36
3,Altervim,TR NB Ph.4,BMA-01,BKD1031,BKD1031-ATV-NB1P5,5.45
4,Altervim,TR NB Ph.4,BMA-01,BKF1009,BKF1009-ATV-NB1P5,5.45
5,Altervim,TR NB Ph.4,BMA-01,NTB1007,NTB1007-ATV-NB1P5,5.45
6,Altervim,TR NB Ph.4,BMA-01,NTB1047,NTB1047-ATV-NB1P5,5.45
7,Altervim,TR NB Ph.4,BMA-01,PTT0046,PTT0046-ATV-NB1P5,5.45
8,Altervim,TR NB Ph.4,BMA-01,BKD7178,BKD7178-ATV-NB1P4,4.36
9,Altervim,TR NB Ph.4,BMA-01,BKF7005,BKF7005-ATV-NB1P5,5.45
10,Altervim,TR NB Ph.4,BMA-01,NTB8606,NTB8606-ATV-NB1P5,5.45
11,Altervim,TR NB Ph.4,BMA-01,BKF8761,BKF8761-ATV-NB1P4,4.36
12,Altervim,TR NB Ph.4,BMA-01,BKF7001,BKF7001-ATV-NB1P4,4.36
13,Altervim,TR NB Ph.4,BMA-01,PTT8544,PTT8544-ATV-NB1P4,4.36
14,Altervim,TR NB Ph.4,BMA-01,NTB8547,NTB8547-ATV-NB1P4,4.36
15,Altervim,TR NB Ph.4,BMA-01,NTB1081,NTB1081-ATV-NB1P5,5.45
16,Altervim,TR NB Ph.4,BMA-01,NTB8620,NTB8620-ATV-NB1P5,5.45
17,Altervim,TR NB Ph.4,BMA-01,NTB8605,NTB8605-ATV-NB1P5,5.45
18,Altervim,TR NB Ph.4,BMA-01,NTB8613,NTB8613-ATV-NB1P5,5.45
19,Altervim,TR NB Ph.4,BMA-01,PTT8550,PTT8550-ATV-NB1P5,5.45
20,Altervim,TR NB Ph.4,BMA-01,BKF8601,BKF8601-ATV-NB1P5,5.45
21,Altervim,TR NB Ph.4,BMA-01,NTB8568,NTB8568-ATV-NB1P4,4.36
22,Altervim,TR NB Ph.4,BMA-01,NTB8525,NTB8525-ATV-NB1P4,4.36
23,Altervim,TR NB Ph.4,BMA-01,BKF8575,BKF8575-ATV-NB1P4,4.36
24,Altervim,TR NB Ph.4,BMA-01,NTB8533,NTB8533-ATV-NB1P4,4.36
25,Altervim,TR NB Ph.4,BMA-01,NTB8509,NTB8509-ATV-NB1P4,4.36
26,Altervim,TR NB Ph.4,BMA-01,NTB0028,NTB0028-ATV-NB1P5,5.45
27,Altervim,TR NB Ph.4,BMA-02,BKE0001,BKE0001-ATV-NB1P5,5.45
28,Altervim,TR NB Ph.4,BMA-02,BKE0028,BKE0028-ATV-NB1P5,5.45
29,Altervim,TR NB Ph.4,BMA-02,BKE1054,BKE1054-ATV-NB1P5,5.45
30,Altervim,TR NB Ph.4,BMA-02,BKE1088,BKE1088-ATV-NB1P5,5.45
31,Altervim,TR NB Ph.4,BMA-02,BKE7149,BKE7149-ATV-NB1P4,4.36
32,Altervim,TR NB Ph.4,BMA-02,BKE8511,BKE8511-ATV-NB1P4,4.36
33,Altervim,TR NB Ph.4,BMA-02,BKE8640,BKE8640-ATV-NB1P5,5.45
34,Altervim,TR NB Ph.4,BMA-02,BKE8730,BKE8730-ATV-NB1P4,4.36
35,Altervim,TR NB Ph.4,BMA-02,BKE1046,BKE1046-ATV-NB1P4,4.36
36,Altervim,TR NB Ph.4,BMA-02,BKE1049,BKE1049-ATV-NB1P5,5.45
37,Altervim,TR NB Ph.4,BMA-02,BKE1053,BKE1053-ATV-NB1P5,5.45
38,Altervim,TR NB Ph.4,BMA-02,BKE1078,BKE1078-ATV-NB1P4,4.36
39,Altervim,TR NB Ph.4,BMA-02,BKE1103,BKE1103-ATV-NB1P5,5.45
40,Altervim,TR NB Ph.4,BMA-02,BKE7000,BKE7000-ATV-NB1P5,5.45
41,Altervim,TR NB Ph.4,BMA-02,BKE6734,BKE6734-ATV-NB1P4,4.36
42,Altervim,TR NB Ph.4,BMA-02,BKE7114,BKE7114-ATV-NB1P4,4.36
